IP,Access Time,HTTP Requests,Browser
10.82.210.3,19/Nov/2021:00:04:11 +0100,/~sgurubacha,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:11 +0100,/~sgurubacha/,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:16 +0100,/~sgurubacha/DBWS/,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:16 +0100,/~sgurubacha/DBWS/,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:16 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:16 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:17 +0100,/~sgurubacha/DBWS/Pictures/D%20NATE.png,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:17 +0100,/~sgurubacha/DBWS/Pictures/D%20NATE.png,"Mozilla/5.0 (Linux; Android 11; ONEPLUS A6010) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Mobile Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:29 +0100,/~sgurubacha/DBWS/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:46 +0100,/~sgurubacha/DBWS/Feed/feed.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:46 +0100,/~sgurubacha/DBWS/Feed/feed.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:57 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:04:57 +0100,/~sgurubacha/DBWS/MainHeader/Donate.html,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:02 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:02 +0100,/~sgurubacha/DBWS/MainHeader/AdminMaintenance/Maintenance_login.php,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:08 +0100,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:08 +0100,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:12 +0100,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.210.3,19/Nov/2021:00:05:12 +0100,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"
10.82.207.218,19/Nov/2021:00:06:42 +0100,/~sgurubacha/DBWS/User_Login/user_login.php,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
10.82.207.218,19/Nov/2021:00:06:42 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
10.82.207.218,19/Nov/2021:00:06:42 +0100,/~sgurubacha/DBWS/impct.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
10.82.207.218,19/Nov/2021:00:06:47 +0100,/~sgurubacha/DBWS/User_Login/user_login.php,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
10.82.207.218,19/Nov/2021:00:06:54 +0100,/~sgurubacha/DBWS/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15"
